"variant","features","between","within","total","df_between","df_within","F","p","permutations"
"public155",155,30.582860830185,356.416065635533,386.998926465718,1,136,11.6697014358449,0.001,999
"appendix154",154,30.6154079081293,355.69995016674,386.31535807487,1,136,11.7056397493274,0.001,999
"working232",232,30.070568216015,364.498309774688,394.568877990703,1,136,11.2197976443457,0.001,999
"working_appendix231",231,30.0995514612781,363.800592172274,393.900143633552,1,136,11.2521504549816,0.001,999
"no_word_component_columns",105,31.484663060217,338.37712516485,369.861788225067,1,136,12.6542660769503,0.001,999
"syntax50",50,16.5664561467266,232.710888136159,249.277344282885,1,136,9.681704427326,0.001,999
"syntax_without_four_analysis_labels",46,11.8749399566824,224.546209636694,236.421149593377,1,136,7.19224714022911,0.001,999
