"variant","features","seed","matched","total","objective","iterations"
"appendix154",154,30,132,138,353.855681788094,4
"appendix154",154,31,111,138,355.972584145982,6
"appendix154",154,32,128,138,353.939057016769,3
"appendix154",154,33,124,138,354.084582784644,3
"appendix154",154,34,129,138,353.958546061744,3
"appendix154",154,35,132,138,353.855681788096,5
"appendix154",154,36,124,138,354.246618173283,3
"appendix154",154,37,122,138,354.021654365683,4
"appendix154",154,38,128,138,353.824838019721,3
"appendix154",154,39,127,138,354.152294153539,4
"appendix154",154,40,130,138,353.779257865159,4
"appendix154",154,41,125,138,354.277489210046,3
"appendix154",154,42,121,138,354.083397713576,3
"appendix154",154,43,124,138,353.760540226798,4
"appendix154",154,44,121,138,354.083397713576,4
"appendix154",154,45,127,138,354.15229415354,4
"appendix154",154,46,125,138,354.277489210046,3
"appendix154",154,47,131,138,353.788411329524,5
"appendix154",154,48,127,138,354.152294153538,3
"appendix154",154,49,132,138,353.855681788095,3
"appendix154",154,50,127,138,354.16779976817,3
"appendix154",154,51,127,138,354.152294153539,3
"appendix154",154,52,129,138,353.849124617471,3
"appendix154",154,53,131,138,353.788411329524,5
"appendix154",154,54,131,138,353.836632058737,3
"appendix154",154,55,128,138,353.906597240999,3
"appendix154",154,56,128,138,353.939057016769,3
"appendix154",154,57,124,138,354.246618173283,3
"appendix154",154,58,124,138,354.195220417272,4
"appendix154",154,59,132,138,353.855681788095,4
"appendix154",154,60,125,138,354.277489210046,4
"appendix154",154,61,115,138,355.507991086521,3
"appendix154",154,62,125,138,354.148257905943,3
"appendix154",154,63,128,138,353.939057016769,3
"appendix154",154,64,128,138,353.824838019721,4
"appendix154",154,65,131,138,353.788411329524,4
"appendix154",154,66,120,138,355.687145139587,5
"appendix154",154,67,124,138,353.760540226799,3
"appendix154",154,68,131,138,353.788411329525,8
"appendix154",154,69,123,138,353.820587430805,3
"appendix154",154,70,132,138,353.855681788095,5
"appendix154",154,71,129,138,353.958546061744,4
"appendix154",154,72,131,138,353.836632058737,3
"appendix154",154,73,131,138,353.788411329525,2
"appendix154",154,74,124,138,353.760540226799,2
"appendix154",154,75,132,138,353.855681788095,5
"appendix154",154,76,127,138,353.949195880232,2
"appendix154",154,77,130,138,353.779257865159,3
"appendix154",154,78,128,138,353.824838019721,4
"appendix154",154,79,131,138,353.788411329525,6
"appendix154",154,80,132,138,353.855681788095,5
"appendix154",154,81,129,138,353.823013374485,3
"appendix154",154,82,126,138,354.170868190966,3
"appendix154",154,83,131,138,353.788411329524,4
"appendix154",154,84,124,138,353.811611151373,3
"appendix154",154,85,131,138,353.788411329524,4
"appendix154",154,86,125,138,354.277489210046,4
"appendix154",154,87,132,138,353.855681788095,4
"appendix154",154,88,130,138,353.77925786516,3
"appendix154",154,89,129,138,353.958546061744,3
"appendix154",154,90,132,138,353.855681788095,5
"appendix154",154,91,132,138,353.855681788095,7
"appendix154",154,92,75,138,369.588622799819,3
"appendix154",154,93,107,138,355.966584026254,3
"appendix154",154,94,121,138,354.083397713577,4
"appendix154",154,95,130,138,353.779257865159,3
"appendix154",154,96,126,138,354.019337666534,3
"appendix154",154,97,131,138,353.788411329524,3
"appendix154",154,98,124,138,353.811611151373,3
"appendix154",154,99,125,138,354.277489210046,3
"appendix154",154,100,131,138,353.788411329525,5
"working232",232,1,115,138,364.634266943551,3
"working232",232,2,132,138,362.760643170267,3
"working232",232,3,132,138,362.760643170266,5
"working232",232,4,131,138,362.692410797385,4
"working232",232,5,114,138,364.773321134727,6
"working232",232,6,127,138,363.056480686387,4
"working232",232,7,130,138,362.683195198438,4
"working232",232,8,128,138,362.838764864535,3
"working232",232,9,121,138,362.926804511969,3
"working232",232,10,130,138,362.683195198437,3
"working232",232,11,121,138,362.926804511968,3
"working232",232,12,132,138,362.760643170267,5
"working232",232,13,132,138,362.760643170267,5
"working232",232,14,126,138,362.720313953768,3
"working232",232,15,90,138,376.588927894007,5
"working232",232,16,125,138,363.151360831436,4
"working232",232,17,125,138,362.610401364631,3
"working232",232,18,124,138,362.658103844424,2
"working232",232,19,130,138,362.683195198438,3
"working232",232,20,127,138,363.056480686387,3
"working232",232,21,132,138,362.760643170267,5
"working232",232,22,109,138,364.352569724149,4
"working232",232,23,132,138,362.760643170267,5
"working232",232,24,129,138,362.69773877692,4
"working232",232,25,130,138,362.683195198438,4
"working232",232,26,121,138,362.926804511968,4
"working232",232,27,125,138,363.151360831437,3
"working232",232,28,126,138,362.994339764949,3
"working232",232,29,110,138,364.322354279937,4
"working232",232,30,132,138,362.760643170267,4
"working232",232,31,110,138,364.770759557231,5
"working232",232,32,128,138,362.980779749673,3
"working232",232,33,124,138,362.934268106985,4
"working232",232,34,128,138,362.941199759914,3
"working232",232,35,132,138,362.760643170268,5
"working232",232,36,116,138,364.742967085495,3
"working232",232,37,124,138,362.611768263478,3
"working232",232,38,128,138,362.699290250904,3
"working232",232,39,127,138,363.056480686387,4
"working232",232,40,130,138,362.683195198438,4
"working232",232,41,125,138,363.151360831435,3
"working232",232,42,121,138,362.926804511968,3
"working232",232,43,128,138,362.699290250904,4
"working232",232,44,121,138,362.926804511968,4
