"variant","word","reference","cluster"
"syntax_without_four_analysis_labels","my",2,1
"syntax_without_four_analysis_labels","myself",2,2
"syntax_without_four_analysis_labels","one_pron",2,2
"syntax_without_four_analysis_labels","one_s",2,1
"syntax_without_four_analysis_labels","oneself",2,2
"syntax_without_four_analysis_labels","their_sing",2,1
"syntax_without_four_analysis_labels","theirs_sing",2,2
"syntax_without_four_analysis_labels","their_plur",2,1
"syntax_without_four_analysis_labels","theirs_plur",2,2
"syntax_without_four_analysis_labels","them_sing",2,2
"syntax_without_four_analysis_labels","them_plur",2,2
"syntax_without_four_analysis_labels","themself",2,2
"syntax_without_four_analysis_labels","themselves",2,2
"syntax_without_four_analysis_labels","they_sing",2,2
"syntax_without_four_analysis_labels","they_plur",2,2
"syntax_without_four_analysis_labels","we_pron",2,2
"syntax_without_four_analysis_labels","us_pron",2,2
"syntax_without_four_analysis_labels","our",2,1
"syntax_without_four_analysis_labels","ours",2,2
"syntax_without_four_analysis_labels","ourselves",2,2
"syntax_without_four_analysis_labels","what_pron",2,2
"syntax_without_four_analysis_labels","whatever_pron",2,2
"syntax_without_four_analysis_labels","which_rel_pron",2,1
"syntax_without_four_analysis_labels","who_int",2,2
"syntax_without_four_analysis_labels","who_rel",2,1
"syntax_without_four_analysis_labels","whom_int",2,2
"syntax_without_four_analysis_labels","whom_rel",2,1
"syntax_without_four_analysis_labels","whose_int",2,1
"syntax_without_four_analysis_labels","whose_rel",2,1
"syntax_without_four_analysis_labels","whoever",2,2
"syntax_without_four_analysis_labels","whoever_s",2,1
"syntax_without_four_analysis_labels","whosever",2,1
"syntax_without_four_analysis_labels","whosoever",2,2
"syntax_without_four_analysis_labels","whosoever_s",2,1
"syntax_without_four_analysis_labels","you_pron_sing",2,2
"syntax_without_four_analysis_labels","you_pron_plur",2,2
"syntax_without_four_analysis_labels","your_sing",2,1
"syntax_without_four_analysis_labels","yours_sing",2,2
"syntax_without_four_analysis_labels","your_plur",2,1
"syntax_without_four_analysis_labels","yours_plur",2,2
"syntax_without_four_analysis_labels","yourself",2,2
"syntax_without_four_analysis_labels","yourselves",2,2
"syntax_without_four_analysis_labels","today",2,2
"syntax_without_four_analysis_labels","tomorrow",2,2
"syntax_without_four_analysis_labels","tonight",2,2
"syntax_without_four_analysis_labels","yesterday",2,2
"syntax_without_four_analysis_labels","there",2,2
