"variant","word","reference","cluster"
"appendix154","which_rel_pron",2,1
"appendix154","who_int",2,2
"appendix154","who_rel",2,2
"appendix154","whom_int",2,2
"appendix154","whom_rel",2,2
"appendix154","whose_int",2,2
"appendix154","whose_rel",2,2
"appendix154","whoever",2,2
"appendix154","whoever_s",2,2
"appendix154","whosever",2,2
"appendix154","whosoever",2,2
"appendix154","whosoever_s",2,2
"appendix154","you_pron_sing",2,2
"appendix154","you_pron_plur",2,2
"appendix154","your_sing",2,2
"appendix154","yours_sing",2,2
"appendix154","your_plur",2,2
"appendix154","yours_plur",2,2
"appendix154","yourself",2,2
"appendix154","yourselves",2,2
"appendix154","today",2,1
"appendix154","tomorrow",2,1
"appendix154","tonight",2,1
"appendix154","yesterday",2,1
"appendix154","there",2,1
"working232","a",1,1
"working232","a_certain",1,1
"working232","a_few",1,1
"working232","a_great_many",1,1
"working232","a_little",1,1
"working232","all",1,1
"working232","another",1,1
"working232","any",1,1
"working232","anybody",1,1
"working232","anyone",1,1
"working232","anything",1,1
"working232","anywhere",1,1
"working232","both",1,1
"working232","certain",1,1
"working232","each",1,1
"working232","either",1,1
"working232","enough",1,1
"working232","every",1,1
"working232","everybody",1,1
"working232","everyone",1,1
"working232","everything",1,1
"working232","everywhere",1,1
"working232","few",1,1
"working232","fewer",1,1
"working232","fewest",1,1
"working232","little",1,1
"working232","less",1,1
"working232","least",1,1
"working232","many",1,1
"working232","many_a",1,1
"working232","more",1,1
"working232","most",1,1
"working232","much",1,1
"working232","neither",1,1
"working232","last",1,1
"working232","next",1,1
"working232","no",1,1
"working232","none",1,1
"working232","nobody",1,1
"working232","no_one",1,1
"working232","nothing",1,1
"working232","nowhere",1,1
"working232","one_det",1,1
"working232","two_det",1,1
"working232","three_det",1,1
"working232","once",1,1
"working232","twice",1,1
"working232","thrice",1,1
"working232","several",1,1
"working232","some",1,1
"working232","somebody",1,1
"working232","someone",1,1
"working232","something",1,1
"working232","somewhere",1,1
"working232","somewhat",1,1
"working232","such",1,1
"working232","sufficient",1,1
"working232","that",1,1
"working232","these",1,1
"working232","this",1,1
"working232","those",1,1
"working232","the",1,1
"working232","us_det",1,2
"working232","we_det",1,2
"working232","you_det",1,1
"working232","what_det",1,1
"working232","whatever_det",1,1
"working232","which_rel_det",1,1
"working232","which_int_det",1,1
"working232","whichever_rel_det",1,1
"working232","whichever_int_det",1,1
"working232","zero_det",1,1
"working232","various_det",1,1
"working232","each_other",2,1
"working232","one_another",2,1
"working232","he",2,2
"working232","him",2,2
"working232","himself",2,2
"working232","his",2,2
"working232","she",2,2
"working232","her_acc",2,2
"working232","her_dep",2,2
"working232","hers",2,2
"working232","herself",2,2
"working232","it_plain",2,2
"working232","it_dum",2,1
"working232","its",2,2
"working232","itself",2,2
"working232","I",2,2
"working232","me",2,2
"working232","mine",2,2
"working232","my",2,2
"working232","myself",2,2
"working232","one_pron",2,2
"working232","one_s",2,2
"working232","oneself",2,2
"working232","their_sing",2,2
"working232","theirs_sing",2,2
"working232","their_plur",2,2
"working232","theirs_plur",2,2
"working232","them_sing",2,2
"working232","them_plur",2,2
"working232","themself",2,2
"working232","themselves",2,2
"working232","they_sing",2,2
"working232","they_plur",2,2
"working232","we_pron",2,2
"working232","us_pron",2,2
"working232","our",2,2
"working232","ours",2,2
"working232","ourselves",2,2
"working232","what_pron",2,1
"working232","whatever_pron",2,1
"working232","which_rel_pron",2,1
"working232","who_int",2,2
"working232","who_rel",2,2
"working232","whom_int",2,2
"working232","whom_rel",2,2
"working232","whose_int",2,2
"working232","whose_rel",2,2
"working232","whoever",2,2
"working232","whoever_s",2,2
"working232","whosever",2,2
"working232","whosoever",2,2
"working232","whosoever_s",2,2
"working232","you_pron_sing",2,2
"working232","you_pron_plur",2,2
"working232","your_sing",2,2
"working232","yours_sing",2,2
"working232","your_plur",2,2
"working232","yours_plur",2,2
"working232","yourself",2,2
"working232","yourselves",2,2
"working232","today",2,1
"working232","tomorrow",2,1
"working232","tonight",2,1
"working232","yesterday",2,1
"working232","there",2,1
"working_appendix231","a",1,1
"working_appendix231","a_certain",1,1
"working_appendix231","a_few",1,1
"working_appendix231","a_great_many",1,1
"working_appendix231","a_little",1,1
"working_appendix231","all",1,1
"working_appendix231","another",1,1
"working_appendix231","any",1,1
"working_appendix231","anybody",1,1
"working_appendix231","anyone",1,1
"working_appendix231","anything",1,1
"working_appendix231","anywhere",1,1
"working_appendix231","both",1,1
"working_appendix231","certain",1,1
"working_appendix231","each",1,1
"working_appendix231","either",1,1
"working_appendix231","enough",1,1
"working_appendix231","every",1,1
"working_appendix231","everybody",1,1
"working_appendix231","everyone",1,1
"working_appendix231","everything",1,1
"working_appendix231","everywhere",1,1
"working_appendix231","few",1,1
"working_appendix231","fewer",1,1
"working_appendix231","fewest",1,1
"working_appendix231","little",1,1
"working_appendix231","less",1,1
"working_appendix231","least",1,1
"working_appendix231","many",1,1
"working_appendix231","many_a",1,1
"working_appendix231","more",1,1
"working_appendix231","most",1,1
"working_appendix231","much",1,1
"working_appendix231","neither",1,1
"working_appendix231","last",1,1
"working_appendix231","next",1,1
"working_appendix231","no",1,1
"working_appendix231","none",1,1
"working_appendix231","nobody",1,1
"working_appendix231","no_one",1,1
"working_appendix231","nothing",1,1
"working_appendix231","nowhere",1,1
"working_appendix231","one_det",1,1
"working_appendix231","two_det",1,1
"working_appendix231","three_det",1,1
"working_appendix231","once",1,1
"working_appendix231","twice",1,1
"working_appendix231","thrice",1,1
"working_appendix231","several",1,1
"working_appendix231","some",1,1
"working_appendix231","somebody",1,1
"working_appendix231","someone",1,1
"working_appendix231","something",1,1
"working_appendix231","somewhere",1,1
"working_appendix231","somewhat",1,1
"working_appendix231","such",1,1
"working_appendix231","sufficient",1,1
"working_appendix231","that",1,1
"working_appendix231","these",1,1
"working_appendix231","this",1,1
"working_appendix231","those",1,1
"working_appendix231","the",1,1
"working_appendix231","us_det",1,2
"working_appendix231","we_det",1,2
"working_appendix231","you_det",1,1
"working_appendix231","what_det",1,1
"working_appendix231","whatever_det",1,1
"working_appendix231","which_rel_det",1,1
"working_appendix231","which_int_det",1,1
"working_appendix231","whichever_rel_det",1,1
"working_appendix231","whichever_int_det",1,1
"working_appendix231","zero_det",1,1
"working_appendix231","various_det",1,1
"working_appendix231","each_other",2,1
"working_appendix231","one_another",2,1
"working_appendix231","he",2,2
"working_appendix231","him",2,2
"working_appendix231","himself",2,2
"working_appendix231","his",2,2
"working_appendix231","she",2,2
"working_appendix231","her_acc",2,2
"working_appendix231","her_dep",2,2
"working_appendix231","hers",2,2
"working_appendix231","herself",2,2
"working_appendix231","it_plain",2,2
"working_appendix231","it_dum",2,1
"working_appendix231","its",2,2
"working_appendix231","itself",2,2
