"fit_id","seed","objective","matched","ari","iterations","last_moves","selected"
"full__equal_features__sqrt_hamming__energy",57,28.5098066937048,124,0.63270356579792,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",58,28.4970285326643,121,0.564825417741791,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",59,28.4799201591133,132,0.832434356035834,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",60,28.5121972617812,125,0.656186540594849,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",61,28.6111885880483,115,0.440577612821402,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",62,28.4969631483919,124,0.632718165357138,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",63,28.4865869314474,128,0.729182352662061,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",64,28.4760468500395,128,0.729193117314019,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",65,28.4745546636592,131,0.805989846809123,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",66,28.6252360563309,120,0.543013385467406,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",67,28.4711337703357,124,0.632742495376833,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",68,28.6252360563308,120,0.543013385467406,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",69,28.4759851971637,123,0.609691204220982,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",70,28.4799201591133,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",71,28.4881109831152,129,0.754358506849612,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",72,28.478367051779,131,0.805985990857994,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",73,28.4745546636592,131,0.805989846809123,2,0,FALSE
"full__equal_features__sqrt_hamming__energy",74,28.4711337703356,124,0.632742495376833,2,0,FALSE
"full__equal_features__sqrt_hamming__energy",75,28.4799201591134,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",76,28.4777891155503,129,0.75436664356095,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",77,28.4865869314475,128,0.729182352662061,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",78,28.4760468500396,128,0.729193117314019,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",79,28.4745546636593,131,0.805989846809123,6,0,FALSE
"full__equal_features__sqrt_hamming__energy",80,28.4799201591133,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",81,28.4759289031117,129,0.754373152541918,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",82,28.5051651761716,126,0.680093474987822,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",83,28.4745546636592,131,0.805989846809123,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",84,28.4752877228987,124,0.632758308161156,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",85,28.4745546636593,131,0.805989846809123,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",86,28.5121972617812,125,0.656186540594849,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",87,28.4799201591133,132,0.832434356035834,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",88,28.4783670517792,131,0.805985990857994,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",89,28.488110983115,129,0.754358506849612,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",90,28.4799201591133,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",91,28.4799201591132,132,0.832434356035834,7,0,FALSE
"full__equal_features__sqrt_hamming__energy",92,29.7421604174699,75,0.000528004406272312,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",93,28.6479736503421,107,0.298448371163928,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",94,28.4970285326643,121,0.564825417741791,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",95,28.4737974993602,130,0.77996430590564,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",96,28.4915914765931,126,0.680101952432046,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",97,28.4745546636592,131,0.805989846809123,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",98,28.4752877228986,124,0.632758308161156,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",99,28.5121972617813,125,0.656186540594849,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",100,28.4745546636593,131,0.805989846809123,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",1,28.7334610050982,113,0.402507280234578,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",2,28.5223204969112,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",3,28.5223204969113,103,0.237788234678377,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",4,28.7334610050983,113,0.402507280234578,2,0,FALSE
"full__equal_domains__sqrt_hamming__energy",5,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",6,28.7826438721144,116,0.460164608685144,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",7,28.7303111482031,112,0.384085714474941,3,0,FALSE
"full__equal_domains__sqrt_hamming__energy",8,28.5223204969112,103,0.237788234678377,5,0,FALSE
"full__equal_domains__sqrt_hamming__energy",9,28.7303111482031,112,0.384085714474941,4,0,FALSE
"full__equal_domains__sqrt_hamming__energy",10,28.5223204969113,103,0.237788234678377,3,0,FALSE
