"word","a","a_certain","a_few","a_great_many","a_little","all","another","any","anybody","anyone","anything","anywhere","both","certain","each","either","enough","every","everybody","everyone","everything","everywhere","few","fewer","fewest","little","less","least","many","many_a","more","most","much","neither","last","next","no","none","nobody","no_one","nothing","nowhere","one_det","two_det","three_det","once","twice","thrice","several","some","somebody","someone","something","somewhere","somewhat","such","sufficient","that","these","this","those","the","us_det","we_det","you_det","what_det","whatever_det","which_rel_det","which_int_det","whichever_rel_det","whichever_int_det","zero_det","various_det","each_other","one_another","he","him","himself","his","she","her_acc","her_dep","hers","herself","it_plain","it_dum","its","itself","I","me","mine","my","myself","one_pron","one_s","oneself","their_sing","theirs_sing","their_plur","theirs_plur","them_sing","them_plur","themself","themselves","they_sing","they_plur","we_pron","us_pron","our","ours","ourselves","what_pron","whatever_pron","which_rel_pron","who_int","who_rel","whom_int","whom_rel","whose_int","whose_rel","whoever","whoever_s","whosever","whosoever","whosoever_s","you_pron_sing","you_pron_plur","your_sing","yours_sing","your_plur","yours_plur","yourself","yourselves","today","tomorrow","tonight","yesterday","there"
"a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"a_certain",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"a_few",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"a_great_many",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"a_little",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"all",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"another",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"any",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"anybody",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"anyone",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"anything",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
"anywhere",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545455,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.954545454545455,0.318181818181818,0.318181818181818,0.818181818181818,1,1,0.954545454545455,0.772727272727273,0.954545454545455,1,1,1,0.818181818181818,0.818181818181818,0.227272727272727,0,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.954545454545455,0,0,0.227272727272727,0,0,0.227272727272727,0,0.227272727272727,0,0.318181818181818,0.227272727272727,0,0.227272727272727,0,0,0,0,0,0.227272727272727,0.227272727272727,0.227272727272727,0,0.227272727272727,0,0,0.954545454545455,0.954545454545455,0.954545454545455,0.318181818181818,0.318181818181818,0,0.318181818181818,0,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,0,0,0.227272727272727,0,0.227272727272727,0,0,0,0.5,0.5,0.5,0.5,0.954545454545455
