"spec_id","scope","feature_set","weighting","distance","method","k","max_k_examined","silhouette","ari"
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",2,8,0.218201033740646,0.252413533231221
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",3,8,0.213016943162009,0.229063254546194
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",4,8,0.214814227728576,0.314252935166918
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",5,8,0.207675154865593,0.311272935248911
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",6,8,0.221800562009156,0.29882463356847
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",7,8,0.201246256688054,0.414810005362503
"full__equal_domains__sqrt_hamming__average","core","full","equal_domains","sqrt_hamming","average",8,8,0.195284523691692,0.414382221655009
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",2,8,0.350308386520323,0.2985552169859
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",3,8,0.271247919709356,0.516006690099447
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",4,8,0.218030899587698,0.332486466914366
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",5,8,0.229895197108831,0.309607375488742
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",6,8,0.269270700578582,0.288871577794018
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",7,8,0.293141257638588,0.275869937726579
"full__equal_domains__hamming__pam","core","full","equal_domains","hamming","pam",8,8,0.312917378880072,0.223887967539782
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",2,8,0.369989056137851,0.252413533231221
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",3,8,0.361592941212751,0.229063254546194
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",4,8,0.360992386211577,0.314252935166918
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",5,8,0.345461792333406,0.311272935248911
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",6,8,0.369612622108965,0.29882463356847
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",7,8,0.33361831332122,0.414810005362503
"full__equal_domains__hamming__average","core","full","equal_domains","hamming","average",8,8,0.323685563802938,0.414382221655009
